match_id,date,venue,innings,batting_team,bowling_team,over_end,cum_runs,cum_wkts,balls_bowled,run_rate,is_chasing,target_first_innings,req_runs,overs_remaining,balls_remaining,req_run_rate,wkts_in_hand,team1,team2,home_team,home_is_batting,winner,team_result,home_team_result
524922,2011-12-23,Stadium Australia,1,Adelaide Strikers,Sydney Thunder,6,46,2,36,7.666666666666667,False,,,,,,8,Sydney Thunder,Adelaide Strikers,Sydney Thunder,False,Sydney Thunder,0,Win
524922,2011-12-23,Stadium Australia,1,Adelaide Strikers,Sydney Thunder,10,61,4,60,6.1,False,,,,,,6,Sydney Thunder,Adelaide Strikers,Sydney Thunder,False,Sydney Thunder,0,Win
524922,2011-12-23,Stadium Australia,1,Adelaide Strikers,Sydney Thunder,15,98,4,90,6.533333333333333,False,,,,,,6,Sydney Thunder,Adelaide Strikers,Sydney Thunder,False,Sydney Thunder,0,Win
524922,2011-12-23,Stadium Australia,1,Adelaide Strikers,Sydney Thunder,20,155,8,120,7.75,False,,,,,,2,Sydney Thunder,Adelaide Strikers,Sydney Thunder,False,Sydney Thunder,0,Win
524922,2011-12-23,Stadium Australia,2,Sydney Thunder,Adelaide Strikers,6,47,1,36,7.833333333333333,True,155.0,109.0,14.0,84.0,7.785714285714286,9,Sydney Thunder,Adelaide Strikers,Sydney Thunder,True,Sydney Thunder,1,Win
524922,2011-12-23,Stadium Australia,2,Sydney Thunder,Adelaide Strikers,10,85,2,60,8.5,True,155.0,71.0,10.0,60.0,7.1,8,Sydney Thunder,Adelaide Strikers,Sydney Thunder,True,Sydney Thunder,1,Win
524922,2011-12-23,Stadium Australia,2,Sydney Thunder,Adelaide Strikers,15,109,4,90,7.266666666666667,True,155.0,47.0,5.0,30.0,9.4,6,Sydney Thunder,Adelaide Strikers,Sydney Thunder,True,Sydney Thunder,1,Win
524923,2011-12-27,"Sydney Cricket Ground, Sydney",1,Sydney Sixers,Melbourne Stars,6,53,1,36,8.833333333333334,False,,,,,,9,Sydney Sixers,Melbourne Stars,Sydney Sixers,True,Sydney Sixers,1,Win
524923,2011-12-27,"Sydney Cricket Ground, Sydney",1,Sydney Sixers,Melbourne Stars,10,79,2,60,7.9,False,,,,,,8,Sydney Sixers,Melbourne Stars,Sydney Sixers,True,Sydney Sixers,1,Win
524923,2011-12-27,"Sydney Cricket Ground, Sydney",1,Sydney Sixers,Melbourne Stars,15,112,5,90,7.466666666666667,False,,,,,,5,Sydney Sixers,Melbourne Stars,Sydney Sixers,True,Sydney Sixers,1,Win
